from,to,type,name,oneway,length,source_feature
1,2,road,,unknown,1.3791220416844197,0
2,1,road,,unknown,1.3791220416844197,0
3,4,road,,unknown,1.3772155558557737,1
4,3,road,,unknown,1.3772155558557737,1
5,6,road,,unknown,1.3788774136872635,2
6,5,road,,unknown,1.3788774136872635,2
7,8,road,,unknown,1.376034118316404,3
8,7,road,,unknown,1.376034118316404,3
9,10,road,,unknown,1.3781189327521424,4
10,9,road,,unknown,1.3781189327521424,4
11,12,road,,unknown,1.376304958399171,5
12,11,road,,unknown,1.376304958399171,5
13,14,road,,unknown,1.376909685726531,6
14,13,road,,unknown,1.376909685726531,6
15,16,road,,unknown,1.3745490583586488,7
16,15,road,,unknown,1.3745490583586488,7
17,18,road,,unknown,1.3764518380518118,8
18,17,road,,unknown,1.3764518380518118,8
19,20,road,,unknown,1.3763166108488556,9
20,19,road,,unknown,1.3763166108488556,9
21,22,road,,unknown,1.3786582097701525,10
22,21,road,,unknown,1.3786582097701525,10
23,24,road,,unknown,1.3789754430936296,11
24,23,road,,unknown,1.3789754430936296,11
25,26,road,,unknown,1.3789589576800967,12
26,25,road,,unknown,1.3789589576800967,12
27,28,road,,unknown,1.3810877483230213,13
28,27,road,,unknown,1.3810877483230213,13
21,30,road,,unknown,1.3776411947713358,14
30,21,road,,unknown,1.3776411947713358,14
31,32,road,,unknown,1.3813818207674053,15
32,31,road,,unknown,1.3813818207674053,15
33,34,road,,unknown,1.3784826280390676,16
34,33,road,,unknown,1.3784826280390676,16
35,36,road,,unknown,1.3800235294280916,17
36,35,road,,unknown,1.3800235294280916,17
37,38,road,,unknown,1.380461289113728,18
38,37,road,,unknown,1.380461289113728,18
39,40,road,,unknown,1.3817704883702795,19
40,39,road,,unknown,1.3817704883702795,19
41,42,road,,unknown,1.3773367997151782,20
42,41,road,,unknown,1.3773367997151782,20
43,44,road,,unknown,1.3779241255153714,21
44,43,road,,unknown,1.3779241255153714,21
45,46,road,,unknown,1.3785288389690333,22
46,45,road,,unknown,1.3785288389690333,22
47,48,road,,unknown,1.3785569124018795,23
48,47,road,,unknown,1.3785569124018795,23
49,50,road,,unknown,1.3785070524464262,24
50,49,road,,unknown,1.3785070524464262,24
51,52,road,,unknown,1.3748323771472581,25
52,51,road,,unknown,1.3748323771472581,25
53,54,road,,unknown,1.3717408878652315,26
54,53,road,,unknown,1.3717408878652315,26
55,56,road,,unknown,1.3750279414555835,27
56,55,road,,unknown,1.3750279414555835,27
57,58,road,,unknown,1.3732134520445776,28
58,57,road,,unknown,1.3732134520445776,28
59,60,road,,unknown,1.379743740923785,29
60,59,road,,unknown,1.379743740923785,29
61,62,road,,unknown,1.3736409595632777,30
62,61,road,,unknown,1.3736409595632777,30
19,64,road,,unknown,1.3736592674947647,31
64,19,road,,unknown,1.3736592674947647,31
23,66,road,,unknown,1.3736510455774977,32
66,23,road,,unknown,1.3736510455774977,32
67,68,road,,unknown,1.372341461690896,33
