lanes_,maxspeed,oneway_,isRound_,isOpBus_,busBid_,type_,category_,id_,lat_,lon_,busRts_
0,30.0,yes,False,False,,residential,road,18603151,0.0,0.0,[]
0,30.0,yes,False,False,,residential,road,18603151,0.0,0.0,[]
0,30.0,yes,False,False,,residential,road,18603151,0.0,0.0,[]
0,30.0,yes,False,False,,residential,road,18603162,0.0,0.0,[]
0,30.0,yes,False,False,,residential,road,18603162,0.0,0.0,[]
0,30.0,yes,False,False,,residential,road,18603162,0.0,0.0,[]
0,30.0,yes,False,False,,residential,road,18603162,0.0,0.0,[]
0,30.0,yes,False,True,,tertiary,road,18604777,0.0,0.0,[L7]
0,30.0,yes,False,True,,tertiary,road,18604777,0.0,0.0,[L7]
0,30.0,yes,False,True,,tertiary,road,18604777,0.0,0.0,[L7]
0,30.0,yes,False,True,,tertiary,road,18604791,0.0,0.0,[L7]
0,30.0,yes,False,True,,tertiary,road,18604791,0.0,0.0,[L7]
0,30.0,yes,False,True,,tertiary,road,18604791,0.0,0.0,[L7]
0,30.0,yes,False,True,,tertiary,road,18604791,0.0,0.0,[L7]
2,30.0,,False,True,,tertiary,road,18604834,0.0,0.0,[L7]
2,30.0,,False,True,,tertiary,road,18604834,0.0,0.0,[L7]
2,30.0,,False,True,,tertiary,road,18604834,0.0,0.0,[L7]
2,30.0,,False,True,,tertiary,road,18604834,0.0,0.0,[L7]
0,30.0,yes,False,True,,tertiary,road,18604849,0.0,0.0,[L7]
2,30.0,,False,False,,residential,road,18605558,0.0,0.0,[]
2,30.0,,False,False,,residential,road,18605558,0.0,0.0,[]
2,30.0,,False,False,,residential,road,18605558,0.0,0.0,[]
2,30.0,,False,False,,residential,road,18605558,0.0,0.0,[]
2,30.0,,False,False,,residential,road,18605558,0.0,0.0,[]
2,30.0,,False,False,,residential,road,18605558,0.0,0.0,[]
2,30.0,,False,False,,residential,road,18605558,0.0,0.0,[]
2,30.0,,False,False,,residential,road,18605558,0.0,0.0,[]
0,30.0,yes,False,False,,tertiary,road,18623044,0.0,0.0,[]
0,30.0,yes,False,False,,tertiary,road,18623044,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,24580117,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,24580141,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,24580141,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,24580141,0.0,0.0,[]
2,50.0,,False,True,,busway,road,24862175,0.0,0.0,"[37, L7, 27]"
2,50.0,,False,True,,busway,road,24862175,0.0,0.0,"[37, L7, 27]"
2,50.0,,False,True,,busway,road,24862175,0.0,0.0,"[37, L7, 27]"
0,30.0,no,False,False,,residential,road,26138221,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,26138223,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,26138223,0.0,0.0,[]
0,30.0,,False,False,,service,road,26138224,0.0,0.0,[]
0,30.0,,False,False,,service,road,26138224,0.0,0.0,[]
0,30.0,,False,False,,service,road,26138224,0.0,0.0,[]
0,50.0,,False,False,,residential,road,26264830,0.0,0.0,[]
0,50.0,,False,False,,residential,road,26264830,0.0,0.0,[]
0,50.0,,False,False,,residential,road,26264830,0.0,0.0,[]
0,50.0,,False,False,,residential,road,26264830,0.0,0.0,[]
0,50.0,,False,False,,service,road,26264831,0.0,0.0,[]
0,30.0,,False,False,,service,road,26264833,0.0,0.0,[]
0,30.0,,False,False,,service,road,26264833,0.0,0.0,[]
0,30.0,,False,False,,service,road,26264833,0.0,0.0,[]
0,30.0,,False,False,,service,road,26264833,0.0,0.0,[]
0,30.0,,False,False,,service,road,26264833,0.0,0.0,[]
0,30.0,,False,False,,service,road,26264833,0.0,0.0,[]
0,30.0,,False,False,,service,road,26264833,0.0,0.0,[]
0,30.0,yes,False,False,,residential,road,26265907,0.0,0.0,[]
0,30.0,yes,False,False,,residential,road,26265907,0.0,0.0,[]
